time, 0.00          ,   1.000000E-03,   2.000000E-03,   5.000000E-03,   1.000000E-01,   2.000000E-01,   3.000000E-01,   4.000000E-01,   5.000000E-01,   6.000000E-01,   7.000000E-01,   8.000000E-01,   9.000000E-01,   1.000000E+00,   1.100000E+00,   1.200000E+00,   1.300000E+00,   1.400000E+00,   1.500000E+00,   1.600000E+00,   1.700000E+00,   1.800000E+00,   1.900000E+00,   2.000000E+00,   2.100000E+00,   2.200000E+00,   2.300000E+00,   2.400000E+00,   2.500000E+00,   2.600000E+00,   2.700000E+00,   2.800000E+00,   2.900000E+00,   3.000000E+00,   3.100000E+00,   3.200000E+00,   3.300000E+00,   3.400000E+00,   3.500000E+00,   3.600000E+00,   3.700000E+00,   3.800000E+00,   3.900000E+00,   4.000000E+00,   4.100000E+00,   4.200000E+00,   4.300000E+00,   4.400000E+00,   4.500000E+00,   4.600000E+00,   4.700000E+00,   4.800000E+00,   4.900000E+00,   5.000000E+00,   5.100000E+00,   5.200000E+00,   5.300000E+00,   5.400000E+00,   5.500000E+00,   5.600000E+00,   5.700000E+00,   5.800000E+00,   5.900000E+00,   6.000000E+00,   6.100000E+00,   6.200000E+00,   6.300000E+00,   6.400000E+00,   6.500000E+00,   6.600000E+00,   6.700000E+00,   6.800000E+00,   6.900000E+00,   7.000000E+00,   7.100000E+00,   7.200000E+00,   7.300000E+00,   7.400000E+00,   7.500000E+00,   7.600000E+00,   7.700000E+00,   7.800000E+00,   7.900000E+00,   8.000000E+00,   8.100000E+00,   8.200000E+00,   8.300000E+00,   8.400000E+00,   8.500000E+00,   8.600000E+00,   8.700000E+00,   8.800000E+00,   8.900000E+00,   9.000000E+00,   9.100000E+00,   9.200000E+00,   9.300000E+00,   9.400000E+00,   9.500000E+00,   9.600000E+00,   9.700000E+00
g,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00,   9.810000E+00
pi,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00,   3.141593E+00
j,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05,   4.190400E-05
kt,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05,   1.040000E-05
kv,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01,   9.634200E+01
dv,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04,   2.000000E-04
r,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01,   2.000000E-01
q,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00,   1.550000E+00
rint,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02,   2.000000E-02
